;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
bröd och övriga spannmålsprodukter;100.00;116.47;131.24;148.49;164.87;178.74;191.17;198.13;216.90;238.58;262.50;274.73;262.53;258.58;251.93;245.47;229.23;228.76;230.67;236.64;240.13;243.04;249.16;249.30;249.54;247.38;245.60;254.06;279.80;286.05;288.29;297.25;300.04;300.28;300.44;303.63;304.96;305.06;308.29;321.92;325.85;329.38
kött;100.00;120.09;138.13;156.83;179.89;193.95;203.52;213.21;229.82;248.12;267.10;266.73;254.71;249.53;249.04;238.19;219.15;217.80;215.20;212.59;215.45;227.01;232.81;230.90;229.61;230.16;233.69;236.08;252.13;259.64;261.45;261.06;266.56;276.07;274.85;277.50;281.50;285.07;289.85;297.17;310.64;315.13
fisk;100.00;111.02;119.77;137.26;149.16;159.15;179.59;199.85;213.18;222.58;241.59;259.28;248.79;248.16;245.78;252.22;239.92;243.52;254.22;267.56;268.37;278.85;309.82;313.68;310.39;313.48;329.47;336.42;350.41;362.92;366.34;355.45;357.48;373.30;372.84;390.78;408.47;430.92;437.80;463.35;468.55;465.55
mjölk, ost och ägg;100.00;118.25;132.68;141.73;157.54;171.72;182.71;189.66;204.68;218.18;228.18;249.52;233.04;238.52;240.86;244.41;235.22;238.21;239.80;242.55;245.10;250.11;261.08;269.91;269.83;267.51;267.49;271.10;297.88;301.81;306.58;318.28;323.29;336.66;344.37;343.11;342.35;353.90;364.22;369.77;369.07;373.80
frukt;100.00;110.10;135.75;148.78;161.14;166.73;168.53;170.90;169.45;168.80;190.11;192.12;178.60;182.33;188.44;206.64;193.56;195.15;198.16;200.03;194.67;213.69;221.90;218.02;221.83;226.43;235.77;243.60;270.23;284.82;282.79;281.93;288.17;303.04;305.94;328.78;337.41;347.50;366.38;354.46;375.00;358.05
grönsaker;100.00;107.83;112.60;131.81;145.07;147.05;152.68;173.74;177.16;176.25;191.57;203.87;188.42;196.04;211.13;219.80;194.68;186.26;191.80;203.84;195.52;205.76;213.07;212.18;204.22;200.67;203.65;210.59;219.81;222.56;230.46;218.64;221.62;226.23;227.22;240.69;244.92;248.95;258.02;277.04;277.29;275.00
sötsaker och glass;100.00;121.84;132.63;147.90;163.92;178.34;194.90;203.19;217.53;232.77;254.25;269.13;261.48;264.92;268.42;285.84;271.67;271.70;275.66;282.01;285.54;286.80;297.52;298.32;299.38;293.61;290.83;296.43;306.61;318.17;326.84;328.35;333.75;333.67;331.06;334.34;338.27;341.91;345.50;353.38;362.25;364.72
kaffe, te och kakao;100.00;95.16;110.31;125.60;151.10;161.27;202.38;144.32;140.56;141.36;128.42;126.87;117.18;132.17;180.97;211.77;173.45;200.99;210.42;185.22;176.01;168.97;161.85;158.63;154.39;151.79;153.97;156.49;164.00;179.17;187.79;225.35;221.28;208.77;209.03;230.98;219.07;240.62;233.53;233.47;244.13;255.98
